Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-26,118.55999755859375,120.0,117.1500015258789,118.51000213623047,626839,0,0
2020-05-27,119.63999938964844,121.95999908447266,119.29000091552734,121.73999786376953,609052,0,0
2020-05-28,123.44000244140625,125.54000091552734,121.91999816894531,124.05000305175781,584762,0,0
2020-05-29,124.1500015258789,125.20999908447266,120.36499786376953,121.38999938964844,1195302,0,0
2020-06-01,121.16000366210938,123.59500122070312,120.76000213623047,122.54000091552734,330900,0,0
2020-06-02,122.58999633789062,124.19999694824219,121.3499984741211,124.19999694824219,419619,0,0
2020-06-03,124.94999694824219,129.10000610351562,124.41000366210938,128.85000610351562,633294,0,0
2020-06-04,127.80000305175781,128.22000122070312,126.51499938964844,127.0999984741211,411102,0,0
2020-06-05,129.30999755859375,133.58999633789062,129.1699981689453,132.3699951171875,545138,0,0
2020-06-08,131.61000061035156,134.30999755859375,131.39500427246094,134.1999969482422,697212,0,0
2020-06-09,133.02999877929688,133.47000122070312,127.50299835205078,127.63999938964844,775707,0,0
2020-06-10,127.88999938964844,128.27000427246094,121.94999694824219,123.11000061035156,868528,0,0
2020-06-11,120.18000030517578,120.41999816894531,112.37999725341797,113.25,997450,0,0
2020-06-12,117.02999877929688,117.83000183105469,113.13999938964844,115.29000091552734,712649,0,0
2020-06-15,112.5,118.93499755859375,111.79499816894531,117.0199966430664,832022,0,0
2020-06-16,121.31999969482422,121.69999694824219,116.95999908447266,117.83000183105469,601960,0,0
2020-06-17,118.47000122070312,119.51000213623047,117.81500244140625,118.4000015258789,349174,0,0
2020-06-18,117.2300033569336,121.2300033569336,117.22000122070312,119.47000122070312,505942,0,0
2020-06-19,121.97000122070312,122.87999725341797,118.66000366210938,119.47000122070312,900318,0,0
2020-06-22,118.94999694824219,119.0,117.02999877929688,118.69999694824219,450628,0,0
2020-06-23,120.27999877929688,121.86000061035156,119.17500305175781,121.31999969482422,412011,0,0
2020-06-24,120.0,120.30000305175781,114.30000305175781,115.41000366210938,780574,0,0
2020-06-25,114.91999816894531,116.24500274658203,113.30999755859375,115.97000122070312,855209,0,0
2020-06-26,116.0,116.95999908447266,114.33000183105469,116.72000122070312,2293893,0,0
2020-06-29,117.6500015258789,120.45999908447266,115.52999877929688,120.41999816894531,692113,0,0
2020-06-30,120.16000366210938,123.44999694824219,119.27999877929688,122.5199966430664,564947,0,0
2020-07-01,122.80999755859375,124.11000061035156,121.31999969482422,121.5199966430664,692250,0,0
2020-07-02,123.2699966430664,124.66999816894531,122.18000030517578,122.38999938964844,507472,0,0
2020-07-06,124.70999908447266,125.61000061035156,121.97000122070312,122.56999969482422,424803,0,0
2020-07-07,121.43000030517578,122.75,119.95500183105469,120.19000244140625,473869,0,0
2020-07-08,120.9800033569336,121.38999938964844,119.0199966430664,119.62000274658203,488149,0,0
2020-07-09,119.16000366210938,119.97000122070312,117.06500244140625,118.48999786376953,510409,0,0
2020-07-10,118.44000244140625,118.97000122070312,117.16000366210938,118.91999816894531,297937,0,0
2020-07-13,119.33999633789062,122.30999755859375,118.83999633789062,119.25,410308,0,0
2020-07-14,119.12999725341797,121.7699966430664,118.01000213623047,121.7300033569336,384981,0,0
2020-07-15,123.8499984741211,126.88999938964844,123.4000015258789,126.16999816894531,514999,0,0
2020-07-16,125.83999633789062,127.52999877929688,124.94999694824219,126.05000305175781,610937,0,0
2020-07-17,127.0199966430664,129.8699951171875,126.18000030517578,129.41000366210938,380742,0,0
2020-07-20,128.77999877929688,130.5500030517578,128.14999389648438,129.6999969482422,652651,0,0
2020-07-21,129.97999572753906,131.09100341796875,128.16000366210938,128.58999633789062,360498,0,0
2020-07-22,128.36000061035156,131.0800018310547,128.36000061035156,129.67999267578125,431220,0,0
2020-07-23,129.60000610351562,130.35000610351562,128.35000610351562,129.1699981689453,427344,0,0
2020-07-24,129.25,129.25,125.80999755859375,127.16000366210938,423697,0,0
2020-07-27,127.58000183105469,133.77999877929688,127.02999877929688,133.0500030517578,800290,0,0
2020-07-28,131.6699981689453,133.3699951171875,130.0399932861328,131.80999755859375,857146,0,0
2020-07-29,132.5399932861328,138.80999755859375,132.3000030517578,136.5500030517578,1174652,0,0
2020-07-30,134.6199951171875,138.69000244140625,134.5,138.32000732421875,1127683,0,0
2020-07-31,137.9199981689453,142.85000610351562,136.1199951171875,142.72000122070312,1290746,0,0
2020-08-03,174.74000549316406,175.57000732421875,173.1999969482422,174.1699981689453,12033159,0,0
2020-08-04,173.63999938964844,176.19000244140625,173.60000610351562,174.5,3544968,0,0
2020-08-05,174.69000244140625,175.27000427246094,173.5,173.50999450683594,2597538,0,0
2020-08-06,173.50999450683594,173.84500122070312,173.00999450683594,173.08999633789062,3033755,0,0
2020-08-07,173.0500030517578,173.82000732421875,172.9499969482422,173.82000732421875,1909322,0,0
2020-08-10,173.41000366210938,173.99000549316406,173.1999969482422,173.3300018310547,1644496,0,0
2020-08-11,173.22999572753906,173.69000244140625,173.22999572753906,173.2899932861328,2373979,0,0
2020-08-12,173.72999572753906,174.2899932861328,173.25,173.4199981689453,1434346,0,0
2020-08-13,173.4199981689453,173.60000610351562,173.10000610351562,173.25,2638026,0,0
2020-08-14,173.14999389648438,173.4499969482422,173.11000061035156,173.14999389648438,2132244,0,0
2020-08-17,173.1999969482422,173.5,173.0,173.11000061035156,1861472,0,0
2020-08-18,173.35000610351562,173.35000610351562,172.9499969482422,173.0800018310547,1896273,0,0
2020-08-19,173.02000427246094,173.32000732421875,172.60000610351562,172.97000122070312,1150890,0,0
2020-08-20,172.85000610351562,173.11000061035156,172.75,172.75,1773535,0,0
2020-08-21,172.9600067138672,173.0399932861328,172.4499969482422,172.5,1787983,0,0
2020-08-24,172.75,173.0,172.6300048828125,172.74000549316406,918962,0,0
2020-08-25,172.82000732421875,172.89999389648438,172.5,172.58999633789062,1181365,0,0
2020-08-26,172.39999389648438,172.60000610351562,172.25,172.25,2144126,0,0
2020-08-27,172.22999572753906,172.47999572753906,172.0399932861328,172.14999389648438,1731405,0,0
2020-08-28,172.39999389648438,172.8300018310547,172.16600036621094,172.75,1040060,0,0
2020-08-31,173.11000061035156,173.99000549316406,173.0,173.6699981689453,1850567,0,0
2020-09-01,173.25,173.85000610351562,173.25,173.8000030517578,1294906,0,0
2020-09-02,173.69000244140625,174.97000122070312,173.60000610351562,174.66000366210938,1240226,0,0
2020-09-03,174.5,174.89999389648438,173.88999938964844,174.3800048828125,1964715,0,0
2020-09-04,174.50999450683594,174.6300048828125,173.5,173.85000610351562,2070636,0,0
2020-09-08,173.9499969482422,174.17999267578125,173.27999877929688,173.30999755859375,2419642,0,0
2020-09-09,173.57000732421875,173.6300048828125,173.08999633789062,173.1999969482422,1376897,0,0
2020-09-10,173.33999633789062,173.60000610351562,172.88999938964844,172.9600067138672,1567008,0,0
2020-09-11,173.07000732421875,173.5399932861328,173.0399932861328,173.3300018310547,1157255,0,0
2020-09-14,173.47999572753906,173.64999389648438,173.14999389648438,173.14999389648438,1228698,0,0
2020-09-15,173.35000610351562,173.57000732421875,173.1699981689453,173.1699981689453,1156096,0,0
2020-09-16,173.39999389648438,173.5399932861328,173.25,173.27999877929688,1329428,0,0
